Date,Open,Close,Change(%),High,Low
"13 Oct 2025","25,310.50","25,305.00","-0.02%","25,355.00","25,226.00"
"12 Oct 2025","25,205.00","25,205.00","-","25,205.00","25,205.00"
"11 Oct 2025","25,205.00","25,205.00","-","25,205.00","25,205.00"
"10 Oct 2025","25,227.00","25,205.00","-0.09%","25,468.00","25,205.00"
"09 Oct 2025","25,131.50","25,222.50","0.36%","25,309.00","25,120.50"
"08 Oct 2025","25,224.50","25,123.00","-0.40%","25,284.00","25,077.50"
"07 Oct 2025","25,152.00","25,217.00","0.26%","25,309.00","25,145.50"
"06 Oct 2025","24,983.00","25,146.50","0.65%","25,196.50","24,946.50"
"05 Oct 2025","24,946.50","24,946.50","-","24,946.50","24,946.50"
"04 Oct 2025","24,946.50","24,946.50","-","24,946.50","24,946.50"
"03 Oct 2025","24,985.50","24,946.50","-0.16%","25,007.50","24,865.00"
"01 Oct 2025","24,761.50","24,947.00","0.75%","25,017.50","24,700.00"
"30 Sep 2025","24,700.00","24,764.00","0.26%","24,799.00","24,581.00"
"29 Sep 2025","24,837.00","24,688.00","-0.60%","24,855.50","24,649.50"
"28 Sep 2025","24,766.50","24,766.50","-","24,766.50","24,766.50"
"27 Sep 2025","24,766.50","24,766.50","-","24,766.50","24,766.50"
"26 Sep 2025","24,862.00","24,766.50","-0.38%","24,968.50","24,660.00"
"25 Sep 2025","25,073.50","24,927.50","-0.58%","25,124.50","24,875.00"
"24 Sep 2025","25,217.00","25,063.50","-0.61%","25,220.00","25,046.00"
"23 Sep 2025","25,291.00","25,217.00","-0.29%","25,330.50","25,153.50"
"22 Sep 2025","25,360.00","25,305.00","-0.22%","25,394.00","25,247.50"
"21 Sep 2025","25,369.50","25,369.50","-","-","25,369.50"
"19 Sep 2025","25,470.00","25,369.50","-0.39%","25,483.00","25,332.00"
"18 Sep 2025","25,493.50","25,459.00","-0.14%","25,575.00","25,416.00"
"17 Sep 2025","25,353.50","25,475.00","0.48%","25,564.50","25,352.50"
"16 Sep 2025","25,158.50","25,336.00","0.71%","25,355.50","25,140.50"
"15 Sep 2025","25,158.00","25,167.00","0.04%","25,203.00","25,145.00"
"13 Sep 2025","25,158.50","25,158.50","-","25,158.50","25,158.50"
"12 Sep 2025","25,188.00","25,158.50","-0.12%","25,245.00","25,132.00"
"11 Sep 2025","25,081.50","25,187.00","0.42%","25,192.00","25,051.00"
"10 Sep 2025","24,970.00","25,073.00","0.41%","25,128.50","24,957.50"
"09 Sep 2025","24,953.00","24,924.00","-0.12%","24,984.00","24,907.50"
